,X.1,X,Month,Day,Year,Time,Location,Operator,Flight..,Route,Type,Registration,cn.In,Aboard,Fatalities,Ground,Summary,CrashStatus
20,20,20,5,10,1918,,Germany,Military - German Navy,,,Zeppelin L-70 (airship),,,22,22,0,NA,Y
21,21,21,8,11,1918,10:00,North Sea,Military - German Navy,,,Zeppelin L-53 (airship),,,19,19,0,NA,Y
22,22,22,12,16,1918,,New Jersey,US Aerial Mail Service,,,De Havilland DH-4,97,,1,1,0,NA,Y
23,23,23,5,25,1919,,Ohio,US Aerial Mail Service,,,De Havilland DH-4,61,,1,1,0,NA,Y
24,24,24,7,19,1919,,Pennsylvania,US Aerial Mail Service,,,De Havilland DH-4,82,,1,1,0,NA,Y
25,25,25,10,2,1919,,England,Aircraft Transport and Travel,,,De Havilland DH-4,,,1,1,0,NA,Y
26,26,26,10,14,1919,,Maryland,US Aerial Mail Service,,,Curtiss R-4LM,32,,1,1,0,NA,Y
27,27,27,10,30,1919,,New Jersey,US Aerial Mail Service,,,De Havilland DH.4,77,,1,1,0,NA,Y
28,28,28,3,10,1920,,Indiana,US Aerial Mail Service,,,De Havilland DH-4,65,,1,1,0,NA,Y
29,29,29,3,30,1920,,New Jersey,US Aerial Mail Service,,,De Havilland DH-4,72,,1,1,0,NA,Y
30,30,30,4,10,1920,,New Jersey,US Aerial Mail Service,,,Curtiss R-4LM,49,,2,1,0,NA,Y
31,31,31,4,11,1920,,New Jersey,US Aerial Mail Service,,,Curtiss JN-4H,44,,2,1,0,NA,Y
32,32,32,5,12,1920,,Iowa,US Aerial Mail Service,,,De Havilland DH-4,79,,2,1,0,NA,Y
33,33,33,6,6,1920,,Ohio,US Aerial Mail Service,,,De Havilland DH-4,204,,1,1,0,NA,Y
34,34,34,8,16,1920,,England,By Air,,,Armstrong-Whitworth F-K-8,G-EALW,,1,1,0,NA,Y
35,35,35,8,16,1920,,Maryland,US Aerial Mail Service,,,De Havilland DH-4,317,,1,1,0,NA,Y
36,36,36,9,1,1920,,New Jersey,US Aerial Mail Service,,,Junkers JL-6,305,,2,2,0,NA,Y
37,37,37,9,15,1920,,Ohio,US Aerial Mail Service,,,Junkers F-13,308,,2,2,0,NA,Y
38,38,38,9,27,1920,,Pennsylvania,US Aerial Mail Service,,,De Havilland DH-4,316,,1,1,0,NA,Y
39,39,39,10,2,1920,,France,Latecoere Airlines,,,Salmson 2-A-2,F-ALAI,31,2,2,0,NA,Y
40,40,40,10,5,1920,,Spain,Latecoere Airlines,,,Breguet 14,F-ALTA,20,2,2,0,NA,Y
41,41,41,10,15,1920,,Illinois,US Aerial Mail Service,,,De Havilland DH-4,76,,1,1,0,NA,Y
42,42,42,11,7,1920,,Wyoming,US Aerial Mail Service,,,De Havilland DH-4,,178,1,1,0,NA,Y
43,43,43,12,14,1920,,England,Handley Page Transport,,,Handley Page HP-16,G-EAMA,HP-25,8,4,0,NA,Y
44,44,44,12,24,1920,,Spain,Aeropostale,,,Breguet 14,F-ALBO,,1,1,0,NA,Y
45,45,45,2,3,1921,,Minnisota,US Aerial Mail Service,,,De Havilland DH-4,130,,1,1,0,NA,Y
46,46,46,2,9,1921,,Wisconsin,US Aerial Mail Service,,,Junkers F-13,301,,3,3,0,NA,Y
47,47,47,2,15,1921,,Off Gibraltar,Aeropostale,,,Breguet 14,F-ALBA,,2,2,0,NA,Y
48,48,48,2,22,1921,,Nevada,US Aerial Mail Service,,,De Havilland DH-4,67,,1,1,0,NA,Y
49,49,49,4,6,1921,,Australia,Military - Royal Australian Air Force,,,,H3021,,2,1,0,NA,Y
50,50,50,4,21,1921,,NY,US Aerial Mail Service,,,De Havilland DH-4,160,,1,1,0,NA,Y
51,51,51,4,29,1921,,Ohio,US Aerial Mail Service,,,De Havilland DH-4,196,,1,1,0,NA,Y
52,52,52,5,17,1921,,Wyoming,US Aerial Mail Service,,,,176,,1,1,0,NA,Y
53,53,53,7,16,1921,,California,US Aerial Mail Service,,,De Havilland DH-4,222,,1,1,0,NA,Y
54,54,54,8,14,1921,,France,Aeropostale,,,Breguet 14,F-ALBI,,2,2,0,NA,Y
55,55,55,8,24,1921,17:40,England,Military - Royal Airship Works,,,Royal Airship Works ZR-2 (airship),R-38,R-38,46,46,1,NA,Y
56,56,56,9,6,1921,,France,Franco-Roumaine,,Varsovie - Strasbourg - Paris,Potez IX,F-ADCD,160,5,5,0,NA,Y
57,57,57,12,5,1921,,Australia,West Australian Airways,,,Bristol 28 Tourer,G-AUDI,6116,3,3,0,NA,Y
58,58,58,1,14,1922,,France,Handley Page Transport,,,Handley Page O/10,G-EATN,HP-43,5,5,5,NA,Y
59,59,59,2,21,1922,,Virginia,Military - U.S. Army Air Service,,,Dirigible Roma (airship),,,45,34,0,NA,Y
60,60,60,4,7,1922,,France,Daimler Airways / Grands Express Aeriens,,,de Havilland DH-18 / Farman F-60 Goliath,G-EAOW/FGEAD,4,7,7,0,NA,Y
61,61,61,4,8,1922,,China,,,,,,,17,17,0,NA,Y
62,62,62,4,13,1922,,England,Vickers,,,Vickers Viking,G-EBBZ,,3,3,0,NA,Y
63,63,63,10,1,1925,,Ohio,US Aerial Mail Service,,,De Havilland DH-4,385,,1,1,0,NA,Y
64,64,64,6,3,1922,,England,Cie des Messageries Aeriennes,,,Bleriot Spad 27,F-CMAY,1254,3,3,0,NA,Y
65,65,65,7,26,1922,,Spain,Grands Express Aeriens,,,Breguet 14,,,3,3,0,NA,Y
66,66,66,9,7,1922,,Indiana,US Aerial Mail Service,,,De Havilland DH-4,227,,1,1,0,NA,Y
67,67,67,10,2,1922,,Italy,,,,de Havilland DH-9,G-EAYT,,4,4,0,NA,Y
68,68,68,10,25,1922,,Morocco,Grands Express Aeriens,,,Breguet 14,,,2,2,0,NA,Y
69,69,69,12,3,1922,,Morocco,Grands Express Aeriens,,,Breguet 14,,,1,1,0,NA,Y
70,70,70,1,10,1923,,France,Amee de l'Air,,,Lioré-et-Olivier H-13,F-AEIB,,4,3,0,NA,Y
71,71,71,1,17,1923,,Spain,Grands Express Aeriens,,,Breguet 14,F-ALJU,,1,1,0,NA,Y
72,72,72,1,18,1923,,Wyoming,US Aerial Mail Service,,,De Havilland DH-4,223,,1,1,0,NA,Y
73,73,73,2,26,1923,,Pennsylvania,US Aerial Mail Service,,,De Havilland DH-4,291,,1,1,0,NA,Y
74,74,74,5,14,1923,,France,Grands Express Aeriens,,,Farman F-60 Goliath,F-AEBY,,6,6,0,NA,Y
75,75,75,8,27,1923,,Romania,Campagnie France Roumaine,,,Blériot Spad 46,F-AEGN,,2,2,0,NA,Y
76,76,76,9,7,1923,,Ohio,US Aerial Mail Service,,,De Havilland DH-4,283,,1,1,0,NA,Y
77,77,77,9,14,1923,,England,Daimler Airways,,,de Havilland DH-34,G-EBBS,29,6,6,0,NA,Y
78,78,78,11,18,1923,,Russia,CCCP,,,Junkers F-13,D-257,,4,2,0,NA,Y
79,79,79,12,6,1923,,Ohio,US Aerial Mail Service,,,De Havilland DH-4,318,,1,1,0,NA,Y
80,80,80,12,23,1923,2:30,Over the Mediterranean Sea,Military - French Navy,,Toulon - Algiers,Zeppelin Dixmunde (airship),L-72,,52,52,0,NA,Y
81,81,81,12,24,1923,,WY,US Aerial Mail Service,,,De Havilland DH-4,315,,1,1,0,NA,Y
82,82,82,3,7,1924,,Pennsylvania,US Aerial Mail Service,,,De Havilland DH-4,327,,1,1,0,NA,Y
83,83,83,4,24,1924,,Over the English Channel,KLM Royal Dutch Airlines,,"Lympne, England - Rotterdam, The Netherlands",Fokker F.III,H-NABS,1535,3,3,0,NA,Y
84,84,84,6,8,1924,,Colombia,SCADTA,,,Junkers F-13,A16,,3,3,0,NA,Y
85,85,85,8,1,1924,,United States,US Aerial Mail Service,,,De Havilland DH-4,297,,1,1,0,NA,Y
86,86,86,11,6,1924,,France,Grands Express Aeriens,,,,F-AFBD,,1,1,0,NA,Y
87,87,87,12,21,1924,,Indiana,US Aerial Mail Service,,,De Havilland DH-4,311,,1,1,0,NA,Y
88,88,88,12,24,1924,,England,Imperial Airways,,,de Havilland DH-34B,G-EBBX,36,8,8,0,NA,Y
89,89,89,3,22,1925,,USSR,Zakavia,,,Junkers F-13,R-RECA,590,5,5,0,NA,Y
90,90,90,4,25,1925,,Spain,Grands Express Aeriens,,,Breguet 14,,,4,4,0,NA,Y
91,91,91,5,25,1925,,Spain,Lignes Aeriennes Latecoere,,,Breguet 14,F-AFBB,,2,2,0,NA,Y
92,92,92,6,25,1925,,France,KLM Royal Dutch Airlines,,,Fokker (KLM)  F.III,H-NABM,KLM-2,4,4,0,NA,Y
93,93,93,6,26,1925,,Spain,Grands Express Aeriens,,,Lioré-et-Olivier H-13,F-AHBH,,2,2,0,NA,Y
94,94,94,7,20,1925,,Spain,Lignes Aeriennes Latecoere,,,Breguet 14,F-AFBI,,1,1,0,NA,Y
95,95,95,7,24,1925,,Hungary,CIDNA,,,Potez IX,,,1,1,0,NA,Y
96,96,96,9,3,1925,5:30,Ohio,Military - U.S. Navy,,"Lakehurst, NJ - S.t Louis, MO",Dirigible ZR-1 Shenandoah (airship),ZR-1,,43,14,0,NA,Y
97,97,97,9,7,1925,,France,CIDNA,,,,,,3,3,0,NA,Y
98,98,98,11,14,1925,,France,Air Union,,,Farman F-60 Goliath,F-AMFY,,2,2,0,NA,Y
99,99,99,2,12,1926,,Ohio,US Aerial Mail Service,,,Curtiss Carrier Pigeon,,,1,1,0,NA,Y
100,100,100,3,8,1926,,Germany,Deutche Lufthansa,,,Junkers F-13,,,1,1,0,NA,Y
101,101,101,5,31,1926,,English Channel,Air Union,,,Breguet 14,F-ADAI,,1,1,0,NA,Y
102,102,102,7,3,1926,,Czechoslovakia,Compagnie Internationale de Navigation Aérienne,,Paris - Prague,Caudron C-61,F-AFBT,5307,7,7,0,NA,Y
103,103,103,7,9,1926,,Belgium,KLM Royal Dutch Airlines,,,Fokker F-4,H-NACC,4759,2,2,0,NA,Y
104,104,104,7,24,1926,,Germany,Deutsche Lufthansa,,,Junkers F-13,D-272,660,4,4,0,NA,Y
105,105,105,8,18,1926,,England,Air Union,,,Bleriot 155,F-AIEB,2,4,4,0,NA,Y
106,106,106,9,26,1926,,New York,,,New York - Paris,Sikorsky S-25,,,5,2,0,NA,Y
107,107,107,10,8,1926,,Germany,Deutsche Lufthansa,,,Fokker FG III,D-468,1554,4,4,0,NA,Y
108,108,108,10,21,1926,13:15,English Channel,Imperial Airways,,,Handley Page W-10,G-EBMS,W10/3,12,0,0,NA,Y
109,109,109,11,11,1926,,Morocco,Grands Express Aeriens,,,Breguet 14,,,3,3,0,NA,Y
110,110,110,12,16,1926,,Oregon,PacifiAir Transport,,,Ryan M-1,2,,1,1,0,NA,Y
111,111,111,1,12,1927,,France,KLM Royal Dutch Airlines,,,Fokker F-VII,H-NADH,,2,2,0,NA,Y
112,112,112,3,20,1927,,Morocco,Grands Express Aeriens,,,Breguet 14,F-ALRA,,1,1,0,NA,Y
113,113,113,3,24,1927,,Australia,Qantas,,,de Havilland DH-9C,G-AUED,86,3,3,0,NA,Y
114,114,114,4,15,1927,,Idaho,Varney Air Lines,,,,,,1,1,0,NA,Y
115,115,115,4,22,1927,,Indiana,US Aerial Mail Service,,,Douglas M-4,626,,1,1,0,NA,Y
116,116,116,4,22,1927,,Germany,Deutsche Lufthansa,,,Fokker FG III,D-729,1567,2,2,0,NA,Y
117,117,117,5,2,1927,,Algeria,Air Union,,,SPCA Meteore 63,,,3,1,0,NA,Y
118,118,118,7,27,1927,,Germany,Deutsche Lufthansa,,,Junkers F-13,D-206,591,5,5,0,NA,Y
119,119,119,8,22,1927,8:30,England,KLM Royal Dutch Airlines,,Croydon - Schiphol,Fokker F-VIII,,4993,11,1,0,NA,Y
120,120,120,9,3,1927,,Connecticut,Colonial Air Transport,,,Fokker Universal,,,1,1,0,NA,Y
121,121,121,9,17,1927,,New Jersey,Reynolds Airways,,Sightseeing,Fokker F-VII,NC776,4840,12,7,0,NA,Y
122,122,122,9,22,1927,,Germany,Deutsche Lufthansa,,,BFW M-18,D-1177,30,4,2,0,NA,Y
123,123,123,9,23,1927,10:00,Germany,Deutsche Lufthansa,,Berlin - Munich,Dornier Merkur,D-585,,6,6,0,NA,Y
124,124,124,10,6,1927,,Mauritania,Lignes Aeriennes Latecoere,,,Breguet 14,F-AGBN,,2,2,0,NA,Y
125,125,125,10,30,1927,,New Jersey,Colonial Air Transport,,,Fairchild FC-2,,,4,4,0,NA,Y
126,126,126,11,16,1927,,France,CIDNA,,,Farman F-121 Jabiru,,,1,1,0,NA,Y
127,127,127,11,16,1927,,Over the Gulf of Finland,Aero O-Y,,,Junkers F-13,K-SALD,798,6,6,0,NA,Y
128,128,128,11,29,1927,,Indiana,National Air Transport,,,Douglas M-4,,,1,1,0,NA,Y
129,129,129,12,26,1927,,Spain,Aeropostale,,,Breguet 14,,,2,2,0,NA,Y
130,130,130,12,28,1927,,Spain,Aeropostale,,,Breguet 14,F-AFGS,,1,1,0,NA,Y
131,131,131,12,31,1927,,France,Latecoere Airlines,,,Latécoère 23,,,4,4,0,NA,Y
132,132,132,1,8,1928,,New York,Colonial Western Airlines,,Minola - Albany - Buffalo,Fairchild FC-2,,39,3,3,0,NA,Y
133,133,133,1,16,1928,,Uruguay,Aeropostale,,,Latecoere 25,,,2,2,0,NA,Y
134,134,134,1,22,1928,,Spain,Aeropostale,,,Breguet 14,F-AHEQ,,2,2,0,NA,Y
135,135,135,1,22,1928,,France,Aeropostale,,,Breguet 14,,,2,1,0,NA,Y
136,136,136,1,27,1928,,Spain,Aeropostale,,,Breguet 14,F-AEEH,,1,1,0,NA,Y
137,137,137,2,26,1928,,Nebraska,Boeing Air Transport,,,Boeing 40,NC280,,2,1,0,NA,Y
138,138,138,3,3,1928,,Brazil,,,,,,,10,10,0,NA,Y
139,139,139,3,11,1928,,France,Air Union,,,Farman F-60 Goliath,F-AEFC,,2,2,0,NA,Y
140,140,140,4,17,1928,,Wyoming,Boeing Air Transport,,,Boeing 40,,,2,1,0,NA,Y
141,141,141,4,19,1928,,Spain,Iberia Airlines,,,Rohrbach Roland,M-CCCC,,9,9,0,NA,Y
142,142,142,5,7,1928,,,Aeropostale,,,Latecoere 26,F-AIMQ,,1,1,0,NA,Y
143,143,143,5,12,1928,,Minnesota,Ford Air Freight Inc.,,,Ford 4,NC1492,,2,2,0,NA,Y
144,144,144,5,26,1928,,Germany,Deutsche Lufthansa,,,Junkers F-13,D-583,742,5,3,0,NA,Y
145,145,145,6,14,1928,,Germany,Deutsche Lufthansa,,,AEGK,D-74,439,5,5,0,NA,Y
146,146,146,6,22,1928,,Kansas,National Air Transport,,Chicago - Dallas,Douglas M-4,,,1,1,0,NA,Y
147,147,147,7,10,1928,,Over the Gulf of Finland,Aero O-Y,,,Junkers F-13,K-SALB,760,6,6,0,NA,Y
148,148,148,7,13,1928,,England,Imperial Airways,,Testing,Vickers 74 Vulcan,G-EBLB,9,4,4,0,NA,Y
149,149,149,7,24,1928,,Netherlands,KLM Royal Dutch Airlines,,,Fokker (KLM) F.III,H-NABR,1533 (KLM-1),1,1,0,NA,Y
150,150,150,8,25,1928,,Canada,British Columbia Airways,,Victoria - Seattle,Ford 4-AT-B Tri Motor,G-CATX,4-AT-26,7,7,0,NA,Y
151,151,151,9,2,1928,,France,CIDNA,,,Bleriot Spad 56,,,3,3,0,NA,Y
152,152,152,9,4,1928,,Australia,Qantas,,,de Havilland DH.50J,G-AUHI,,2,1,0,NA,Y
153,153,153,9,4,1928,,Idaho,National Parks Airways,,,Fokker Super Universal,NC7242,809,7,7,0,NA,Y
154,154,154,9,6,1928,,Germany,Deutsche Lufthansa,,,Fokker FG III,D-180,1531,3,3,0,NA,Y
155,155,155,10,4,1928,,Spain,Aeropostale,,,Breguet 14,,,3,3,0,NA,Y
156,156,156,10,18,1928,,Pennsylvania,National Air Transport,,,Douglas M-4,,,1,1,0,NA,Y
157,157,157,10,31,1928,,France,Air Union,,,Bleriot Spad 56,F-AIMN,,2,1,0,NA,Y
158,158,158,11,15,1928,,Off Gibraltar,Aeropostale,,,Latecoere 32,F-AISN,,2,1,0,NA,Y
159,159,159,11,24,1928,,Ohio,Universal Airlines,,Cleveland - Chicago,Hamilton H-47,,46,3,3,0,NA,Y
160,160,160,11,25,1928,,Ohio,National Air Transport,,,Douglas M-4,,,1,1,0,NA,Y
161,161,161,11,25,1928,,Ohio,Continental Air Lines,,Cleveland - Louisville,Travel Air 4000,,,3,3,0,NA,Y
162,162,162,12,1,1928,10:00,Texas,Sunbeam Air Transport Co.,,San Antonio - Amarillo - Tulsa - Denver,Ford 4-AT-B Tri Motor,NC7862,4-AT-47,5,5,0,NA,Y
163,163,163,12,3,1928,8:00,Brazil,Syndicato Condor,,,Dornier Wal,P-BACA,63,14,14,0,NA,Y
164,164,164,12,4,1928,,Brazil,,,,Junkers G24,,,6,6,0,NA,Y
165,165,165,12,11,1928,,Germany,Deutsche Lufthansa,,,Junkers G-31,D-1473,3005,4,3,0,NA,Y
166,166,166,12,20,1928,,Ohio,National Air Transport,,Cleveland - Chicago,Douglas M-4,,,1,1,0,NA,Y
167,167,167,12,23,1928,,Tennessee,Interstate Airlines,,,Fairchild FC-2,,,4,4,0,NA,Y
168,168,168,12,31,1928,,France,CIDNA,,,Blériot Spad 66,F-AEHX,40,3,2,0,NA,Y
169,169,169,1,5,1929,,Connecticut,Colonial Air Transport,,,Fairchild FC-2,,,1,1,0,NA,Y
170,170,170,1,18,1929,,Oregon,Varney Air Lines,,,Stearman C-38,,,1,1,0,NA,Y
171,171,171,1,25,1929,,Greece,Aeroespresso,,,CMASA Wal,I-AZDA,53,9,2,0,NA,Y
172,172,172,1,31,1929,,West Virginia,Skyline Transportation Company,,,Travel Air 4000,,,1,1,0,NA,Y
173,173,173,1,31,1929,,Off Morocco,Aeropostale,,,Latecoere 26,,,2,2,0,NA,Y
174,174,174,3,17,1929,,New Jersey,Colonial Western Airlines,,Sightseeing,Ford 5-AT-B Tri Motor,NC7683,4-AT-41,15,14,0,NA,Y
175,175,175,3,30,1929,9:18,California,New Standard Airlines,,Los Angeles - Phoenix - El Paso,Fokker F-VIIA,NC7888,617,4,4,0,NA,Y
176,176,176,4,21,1929,,California,Maddux Airlines / Military - U.S.Army Air Force,,San Diego - Phoenix,Ford 5-AT-B Tri-Motor / B-PW-9D,NC9636 / 28-037,4-AT-010,6,6,0,NA,Y
177,177,177,5,18,1929,,Hungary,MALERT,,,Fokker F-III,H-MABC,,2,2,0,NA,Y
178,178,178,5,22,1929,,Algiers,Aeropostale,,,Cams 53,F-AISX,,5,4,0,NA,Y
179,179,179,6,10,1929,,Cuba,Pan American Airways,,Santiago de Cuba - Havana,Fokker F-X,NC9700,,5,2,0,NA,Y
180,180,180,6,14,1929,,Spain,Aeropostale,,,Breguet 14,F-AFEJ,,2,1,0,NA,Y
181,181,181,6,17,1929,,England,Imperial Airways,,,Handley Page W-10,G-EBMT,W10/4,13,7,0,NA,Y
182,182,182,6,24,1929,,Minnesota,Northwest Orient Airlines,,St. Paul - Minneapolis,Ford 5-AT-B Tri-Motor,NC7416,5-AT-002,8,1,0,NA,Y
183,183,183,6,29,1929,,Switzerland,Aero Lloyd,,,Domier Delphin III,D-1620,151,5,5,0,NA,Y
184,184,184,6,29,1929,,Ohio,Continental Air Lines,,,Travel Air 4000,,,1,1,0,NA,Y
185,185,185,8,11,1929,,New Mexico,Middle States Airlines,,,Lockheed Vega,NC870E,,4,4,0,NA,Y
186,186,186,8,13,1929,,France,Aeropostale,,,Breguet 14,,,1,1,0,NA,Y
187,187,187,8,24,1929,,Russia,Ukvozduchput,,,Kalinin K-4,CCCP-217,,1,1,0,NA,Y
188,188,188,8,24,1929,,Germany,Deutsche Lufthansa,,,Fokker FG II,D-757,1571,5,4,0,NA,Y
189,189,189,9,2,1929,,California,Associated Aviators,,,Lockheed Vega,NR859E,,2,1,0,NA,Y
190,190,190,9,3,1929,c: 1:00,New Mexico,Trans Continental Air Transport,,Albuquerque - Los Angeles,Ford 5-AT-B Tri Motor,NC9649,5-AT-002,8,8,0,NA,Y
191,191,191,9,6,1929,,Iran,Imperial Airways,,"London, England - India",de Havilland DH-66 Hercules,G-EBMZ,239,5,3,0,NA,Y
192,192,192,9,17,1929,,Morocco,Aeropostale,,,Latecoere 25-3-R,F-AIUJ,704,5,5,0,NA,Y
193,193,193,9,17,1929,,California,Pickwick Airways,,Tijuana - Nogales,Fairchild 71,,,2,1,0,NA,Y
194,194,194,9,17,1929,,Connecticut,Colonial Air Transport,,,Pitcairn PA-6 Mailwing,,,1,1,0,NA,Y
195,195,195,10,26,1929,,Italy,Imperial Airways,,,Short Calcutta,G-AADN,5748,7,7,0,NA,Y
196,196,196,10,29,1929,,Ohio,Continental Air Lines,,Cleveland - Louisville,Stearman C-38,,,1,1,0,NA,Y
197,197,197,10,31,1929,,Washington,Bremerton-Seattle Air Taxi / Gorst Air Lines,,Bremerton,Loening C-2C,,,2,2,0,NA,Y
198,198,198,11,4,1929,7:00,Mexico,Corp. Aeronautica de Transportes,,Mexico City - Juarez,Lockheed Vega 5,NC46M,97,4,4,0,NA,Y
199,199,199,11,6,1929,,England,Deutsche Lufthansa,,Amsterdam - Croyden,Junkers G-24,D-903,911,8,7,0,NA,Y
200,200,200,11,15,1929,,France,Air Union,,,Liore et Olivier 190,F-AIGB,1,3,3,0,NA,Y
201,201,201,11,30,1929,,Washington,Varney Air Lines,,,Stearman M-2 Speedmail,,,1,1,0,NA,Y
202,202,202,12,2,1929,,Ohio,National Air Transport,,,Douglas M-3,,,1,1,0,NA,Y
203,203,203,12,14,1929,,Mediterranean Sea,Aeropostale,,,Bernard 192,F-AJDA,,3,3,0,NA,Y
204,204,204,12,19,1929,,Germany,Deutsche Lufthansa,,,Arado V1,D-1594,,3,2,0,NA,Y
205,205,205,12,30,1929,,Texas,Trans Continental Air Transport,,,Travel Air B6000,,,5,5,0,NA,Y
206,206,206,1,10,1930,,Nebraska,Boeing Air Transport,,,Boeing 95,NC184E,,1,1,0,NA,Y
207,207,207,1,13,1930,,Madagascar,Air Orient,,,Farman 190,F-AJJK,,3,3,0,NA,Y
208,208,208,1,19,1930,18:23,California,Maddux Airlines,7,"Aqua Caliente, Mexico - Los Angeles",Ford 5-AT-C Tri Motor,NC9689,5-AT-046,16,16,0,NA,Y
209,209,209,1,25,1930,,Spain,Aeropostale,,,Latecoere 25,F-AJCL,,2,2,0,NA,Y
210,210,210,1,27,1930,17:30,Kansas,Central  Airlines,,"Wichita - Kansas City, KS",Travel Air A6000A,,963,5,5,0,NA,Y
211,211,211,2,3,1930,,Connecticut,Colonial Air Transport,,"Newark, NJ - Hartford, CT",Pitcairn PA-6 Mailwing,,,1,1,0,NA,Y
212,212,212,2,10,1930,,England,Air Union,,,Farman F-63,F-FHMY,,2,2,0,NA,Y
213,213,213,4,18,1930,c:17:00,New Jersey,Canadian Colonial Airways,,"Albany, NY - Jersey City, NJ",Fairchild 71,,634,4,4,0,NA,Y
214,214,214,5,10,1930,,Buenos Aires,Aeropostale,,,Latecoere 28,F-AJPD,,4,3,0,NA,Y
215,215,215,6,5,1930,,Massachusetts,Colonial Air Transport,,,Ford Tri-Motor 5,NC9675,5-AT-033,15,1,0,NA,Y
216,216,216,7,7,1930,,Denmark,Deutsche Lufthansa,,Stettin - Norway,Dornier Wal,D-864,44,8,5,0,NA,Y
217,217,217,7,10,1930,,Texas,Cross Airways,,,Lockheed Vega 5,NC-394H,87,5,5,0,NA,Y
218,218,218,8,22,1930,,Czechoslovakia,Ceskoslovenske Aerolinie,,Prague - Brun -  Pressburg,Ford 5-AT-C Tri Motor,OK-FOR,5-AT-050,11,10,0,NA,Y
219,219,219,9,11,1930,,England,Sabena,,,Sabca F-VII,OO-AIN,,2,2,0,NA,Y
220,220,220,9,25,1930,,Canada,Western Canada Airways,,Calgary - Moosejaw,,,,3,3,0,NA,Y
221,221,221,10,5,1930,2:05,France,Military - British Air Ministry,,"Cardington, England - Karachi, Pakistan",Royal Airship Works R-101,G-FAAW,R-101,54,48,0,NA,Y
222,222,222,10,6,1930,9:45,Germany,Deutsche Lufthansa,,Berlin - Vienna,Messerschmitt M-20B,D-1930,443,8,8,0,NA,Y
223,223,223,10,12,1930,,Morocco,Aeropostale,,Casablanca - Bahat - Toulouse,Latecoere 28,F-AJUU,,4,4,0,NA,Y
224,224,224,10,28,1930,,Canada,Alaska-Washington Airways,,,Lockheed Vega,NC103W,120,3,3,0,NA,Y
225,225,225,10,30,1930,,France,Imperial Airways,,"Paris, France - London, England",Handley Page W-8,G-EBIX,W8-7,6,3,0,NA,Y
226,226,226,10,30,1930,,Indiana,Embry Riddle Company,,,Pitcairn PA-6 Mailwing,,,1,1,0,NA,Y
227,227,227,11,7,1930,,Brazil,Syndicato Condor,,,Junkers G-24,P-BAHA,921,9,1,0,NA,Y
228,228,228,12,9,1930,,China,China National Aviation Corporation,,Shanghai - Hankow,Loening C-W Air Yaht,,,6,4,0,NA,Y
229,229,229,1,8,1931,,Belgium,Sabena,,,Fokker F-VII,OO-AIL,,2,2,0,NA,Y
230,230,230,1,22,1931,,Washington,Varney Air Lines,,Portland - Pasco,Boeing 40,NC741K,,1,1,0,NA,Y
231,231,231,2,8,1931,,New Zealand,Dominion Air Lines,,,Desoutter II,ZK-ACA,,1,1,0,NA,Y
