"","X.2","X.1","X","Month","Day","Year","Time","Location","Operator","Flight..","Route","Type","Registration","cn.In","Aboard","Fatalities","Ground","Summary","CrashStatus"
"154",154,154,154,9,6,1928,"","Germany","Deutsche Lufthansa","","","Fokker FG III","D-180","1531",3,3,0,NA,"Y"
"156",156,156,156,10,18,1928,"","Pennsylvania","National Air Transport","","","Douglas M-4","","",1,1,0,NA,"Y"
"158",158,158,158,11,15,1928,"","Off Gibraltar","Aeropostale","","","Latecoere 32","F-AISN","",2,1,0,NA,"Y"
"160",160,160,160,11,25,1928,"","Ohio","National Air Transport","","","Douglas M-4","","",1,1,0,NA,"Y"
"162",162,162,162,12,1,1928,"10:00","Texas","Sunbeam Air Transport Co.","","San Antonio - Amarillo - Tulsa - Denver","Ford 4-AT-B Tri Motor","NC7862","4-AT-47",5,5,0,NA,"Y"
"164",164,164,164,12,4,1928,"","Brazil","","","","Junkers G24","","",6,6,0,NA,"Y"
"166",166,166,166,12,20,1928,"","Ohio","National Air Transport","","Cleveland - Chicago","Douglas M-4","","",1,1,0,NA,"Y"
"168",168,168,168,12,31,1928,"","France","CIDNA","","","Blériot Spad 66","F-AEHX","40",3,2,0,NA,"Y"
"170",170,170,170,1,18,1929,"","Oregon","Varney Air Lines","","","Stearman C-38","","",1,1,0,NA,"Y"
"172",172,172,172,1,31,1929,"","West Virginia","Skyline Transportation Company","","","Travel Air 4000","","",1,1,0,NA,"Y"
"174",174,174,174,3,17,1929,"","New Jersey","Colonial Western Airlines","","Sightseeing","Ford 5-AT-B Tri Motor","NC7683","4-AT-41",15,14,0,NA,"Y"
"176",176,176,176,4,21,1929,"","California","Maddux Airlines / Military - U.S.Army Air Force","","San Diego - Phoenix","Ford 5-AT-B Tri-Motor / B-PW-9D","NC9636 / 28-037","4-AT-010",6,6,0,NA,"Y"
"178",178,178,178,5,22,1929,"","Algiers","Aeropostale","","","Cams 53","F-AISX","",5,4,0,NA,"Y"
"180",180,180,180,6,14,1929,"","Spain","Aeropostale","","","Breguet 14","F-AFEJ","",2,1,0,NA,"Y"
"182",182,182,182,6,24,1929,"","Minnesota","Northwest Orient Airlines","","St. Paul - Minneapolis","Ford 5-AT-B Tri-Motor","NC7416","5-AT-002",8,1,0,NA,"Y"
"184",184,184,184,6,29,1929,"","Ohio","Continental Air Lines","","","Travel Air 4000","","",1,1,0,NA,"Y"
"186",186,186,186,8,13,1929,"","France","Aeropostale","","","Breguet 14","","",1,1,0,NA,"Y"
"188",188,188,188,8,24,1929,"","Germany","Deutsche Lufthansa","","","Fokker FG II","D-757","1571",5,4,0,NA,"Y"
"190",190,190,190,9,3,1929,"c: 1:00","New Mexico","Trans Continental Air Transport","","Albuquerque - Los Angeles","Ford 5-AT-B Tri Motor","NC9649","5-AT-002",8,8,0,NA,"Y"
"192",192,192,192,9,17,1929,"","Morocco","Aeropostale","","","Latecoere 25-3-R","F-AIUJ","704",5,5,0,NA,"Y"
"194",194,194,194,9,17,1929,"","Connecticut","Colonial Air Transport","","","Pitcairn PA-6 Mailwing","","",1,1,0,NA,"Y"
"196",196,196,196,10,29,1929,"","Ohio","Continental Air Lines","","Cleveland - Louisville","Stearman C-38","","",1,1,0,NA,"Y"
"198",198,198,198,11,4,1929,"7:00","Mexico","Corp. Aeronautica de Transportes","","Mexico City - Juarez","Lockheed Vega 5","NC46M","97",4,4,0,NA,"Y"
"200",200,200,200,11,15,1929,"","France","Air Union","","","Liore et Olivier 190","F-AIGB","1",3,3,0,NA,"Y"
"202",202,202,202,12,2,1929,"","Ohio","National Air Transport","","","Douglas M-3","","",1,1,0,NA,"Y"
"204",204,204,204,12,19,1929,"","Germany","Deutsche Lufthansa","","","Arado V1","D-1594","",3,2,0,NA,"Y"
"206",206,206,206,1,10,1930,"","Nebraska","Boeing Air Transport","","","Boeing 95","NC184E","",1,1,0,NA,"Y"
"208",208,208,208,1,19,1930,"18:23","California","Maddux Airlines","7","Aqua Caliente, Mexico - Los Angeles","Ford 5-AT-C Tri Motor","NC9689","5-AT-046",16,16,0,NA,"Y"
"210",210,210,210,1,27,1930,"17:30","Kansas","Central  Airlines","","Wichita - Kansas City, KS","Travel Air A6000A","","963",5,5,0,NA,"Y"
"212",212,212,212,2,10,1930,"","England","Air Union","","","Farman F-63","F-FHMY","",2,2,0,NA,"Y"
"214",214,214,214,5,10,1930,"","Buenos Aires","Aeropostale","","","Latecoere 28","F-AJPD","",4,3,0,NA,"Y"
"216",216,216,216,7,7,1930,"","Denmark","Deutsche Lufthansa","","Stettin - Norway","Dornier Wal","D-864","44",8,5,0,NA,"Y"
"218",218,218,218,8,22,1930,"","Czechoslovakia","Ceskoslovenske Aerolinie","","Prague - Brun -  Pressburg","Ford 5-AT-C Tri Motor","OK-FOR","5-AT-050",11,10,0,NA,"Y"
"220",220,220,220,9,25,1930,"","Canada","Western Canada Airways","","Calgary - Moosejaw","","","",3,3,0,NA,"Y"
"222",222,222,222,10,6,1930,"9:45","Germany","Deutsche Lufthansa","","Berlin - Vienna","Messerschmitt M-20B","D-1930","443",8,8,0,NA,"Y"
"224",224,224,224,10,28,1930,"","Canada","Alaska-Washington Airways","","","Lockheed Vega","NC103W","120",3,3,0,NA,"Y"
"226",226,226,226,10,30,1930,"","Indiana","Embry Riddle Company","","","Pitcairn PA-6 Mailwing","","",1,1,0,NA,"Y"
"228",228,228,228,12,9,1930,"","China","China National Aviation Corporation","","Shanghai - Hankow","Loening C-W Air Yaht","","",6,4,0,NA,"Y"
"230",230,230,230,1,22,1931,"","Washington","Varney Air Lines","","Portland - Pasco","Boeing 40","NC741K","",1,1,0,NA,"Y"
"232",232,232,232,2,20,1931,"","Canada","Western Canada Airways","","Winnigeg - Moosejaw","Fokker Universal F-14","","",3,2,0,NA,"Y"
"234",234,234,234,3,21,1931,"","Australia","Australian National Airways","","","Avro 10","VH-UMF","241",8,8,0,NA,"Y"
"236",236,236,236,4,14,1931,"","Germany","Deutsche Lufthansa","","","Messerschmitt M-20","D-1928","442",10,2,0,NA,"Y"
"238",238,238,238,5,22,1931,"","Australia","Guiena Airways","","","Junkers W-34","VH-UNR","",1,1,0,NA,"Y"
"240",240,240,240,6,7,1931,"9:00","Burma","Air Orient","","Saigon - Karachi","Fokker F-VIIB","PH-AEO","5096",4,4,0,NA,"Y"
"242",242,242,242,6,13,1931,"","Germany","Deutsche Lufthansa","","Cologne - Saarbrucken","Dornier Merkur","D-1455","177",4,4,0,NA,"Y"
"244",244,244,244,7,14,1931,"","Australia","Australian Aerial Services","","","Lasco Lascowl","VH-UGF","",2,2,0,NA,"Y"
"246",246,246,246,7,24,1931,"","Bulgaria","CIDNA","","Constantinople - Budapest","Fokker F-VII","","",7,7,0,NA,"Y"
"248",248,248,248,9,14,1931,"20:00","Illinois","Chicago-Detroit Airways","","","Lockheed Vega","NC606","",1,1,0,NA,"Y"
"250",250,250,250,10,6,1931,"","Canada","Deutsche Lufthansa","","","Heinkel HE-2","D-1717","334",3,3,0,NA,"Y"
"252",252,252,252,11,5,1931,"6:48","New Jersey","NY, Phil., Washington AW","","Newark, NJ  - Camden, NJ - Washington DC","Lockheed Orion 9","NC12221","178",5,5,0,NA,"Y"
"254",254,254,254,11,23,1931,"","Utah","Boeing Air Transport","","","Boeing 40","NC7465","",1,1,0,NA,"Y"
"256",256,256,256,11,26,1931,"22:30","Washington","Varney Air Lines","","Portland,  WA - Pasco, WA","Boeing 40","NC10338","",1,1,0,NA,"Y"
"258",258,258,258,12,6,1931,"","Thailand","KLM Royal Dutch Airlines","","","Fokker F-VIIb-3M","PH-AFO","5226",7,5,0,NA,"Y"
"260",260,260,260,12,31,1931,"","Ohio","American Airways","","Port Colombus, OH - Louisville, KY","Fairchild Pilgrim 100A","","",5,4,0,NA,"Y"
"262",262,262,262,1,29,1932,"","California","Century PacifiLines","","San Francisco - Bakersfield - Los Angeles, CA","Stinson SM-6000B","","5034",8,8,0,NA,"Y"
"264",264,264,264,2,2,1932,"","Michigan","Transamerican Airlines","","Chicago - Kalamazoo","Stearman C-3MB","","",1,1,0,NA,"Y"
"266",266,266,266,2,27,1932,"","Brazil","Aeropostale","","","Latecoere 28","F-AJOX","",3,3,0,NA,"Y"
"268",268,268,268,3,19,1932,"","California","American Airways","","Phoenix, AZ - Los Angeles, CA","Fokker F-10A","","1027",7,7,0,NA,"Y"
"270",270,270,270,3,29,1932,"","Syria","Air Orient","","","Farman F-190","","",3,3,0,NA,"Y"
"272",272,272,272,4,21,1932,"","Indiana","Transamerica Airlines","","","Stearman C-3MB","","",1,1,0,NA,"Y"
"274",274,274,274,5,16,1932,"","California","PacifiAir Transport","","San Diego - Burbank - Oakland","Boeing 40","NC5589","",3,3,0,NA,"Y"
"276",276,276,276,8,12,1932,"","Lebanon","Air Orient","","","CAMS 53","F-AIQY","",7,1,0,NA,"Y"
"278",278,278,278,9,8,1932,"c:09:00","Texas","American Airways","","El Paso - Dallas","Fokker F-10","NC9716","",4,3,0,NA,"Y"
"280",280,280,280,9,18,1932,"","Australia","New England Airways","","","De Havilland DH-80","VH-UPM","",3,3,0,NA,"Y"
"282",282,282,282,10,26,1932,"","Bolivia","Lloyd Aero Boliviano","","","Ford Tri-motor 5","","",2,2,0,NA,"Y"
"284",284,284,284,11,2,1932,"","Germany","Deutsche Lufthansa","","Nuremberg - Frankfort","Junkers F-13","D-724","696",5,5,0,NA,"Y"
"286",286,286,286,12,14,1932,"","Texas","Trans Continental and Western Air","","","Ford 5","NC9650","",2,2,0,NA,"Y"
"288",288,288,288,12,26,1932,"","Australia","Guinea Airways","","","De Havilland DH-60","VH-UMJ","",2,2,0,NA,"Y"
"290",290,290,290,1,14,1933,"","New Jersey","Eastern Air Transport","","Test flight","Curtiss Condor 18","NC185H","",2,2,0,NA,"Y"
"292",292,292,292,1,20,1933,"2:07","Texas","American Airways","","Big Springs - San Antonio","Stearman 4","NC11721","",1,1,0,NA,"Y"
"294",294,294,294,3,11,1933,"","Argentina","Pan American Grace Airways","","Mendoza, Argentina - Santiago, Chili","Fairchild FC-2W","NC9723","",2,2,0,NA,"Y"
"296",296,296,296,3,28,1933,"14:30","Belgium","Imperial Airways","","Cologne, Germany - Croydon, England","Armstrong Whitworth Argosy II","G-AACI","AW-363",15,15,0,NA,"Y"
"298",298,298,298,4,4,1933,"12:30","New Jersey","Military - U.S. Navy","","","Goodyear-Zeppelin U.S.S. Akron (airship)","ZRS-4","",76,73,0,NA,"Y"
"300",300,300,300,4,29,1933,"","Germany","Eurasia","","","Junkers W-34","D-4","2737",4,4,0,NA,"Y"
"302",302,302,302,6,2,1933,"","Virginia","Eastern Air Transport","","","Pitcairns PA-6","","",1,1,0,NA,"Y"
"304",304,304,304,9,12,1933,"","Yugoslavia","Aeroput","","","Farman F-306","YU-SAH","",8,8,0,NA,"Y"
"306",306,306,306,10,31,1933,"","France","Air France","","","Farman F-301","F-AJMI","",2,2,0,NA,"Y"
"308",308,308,308,11,21,1933,"15:00","USSR","Kalinin","","Test flight","Kalinin K-7","","",20,14,0,NA,"Y"
"310",310,310,310,12,11,1933,"","Germany","Deutsche Lufthansa","","Berlin - Hamburg","Focke-Wulf A-17","D-1403","47",8,7,0,NA,"Y"
"312",312,312,312,12,30,1933,"","Belgium","Imperial Airways","","Brussels, Belgium - Croydon, England","Avro 10","G-ABLU","528",10,10,0,NA,"Y"
"314",314,314,314,1,20,1934,"","France","Air France","","","Breguet 280T","F-AJKX","",2,2,0,NA,"Y"
"316",316,316,316,2,26,1934,"","Morocco","Air France","","","Latécoère 28","F-AJPA","925",6,1,0,NA,"Y"
"318",318,318,318,3,10,1934,"","Colombia","Pan American Airways (Scadta)","","Quiddo - Cartago","Sikorsky S-38 Flying Boat","NC-9107","",6,5,0,NA,"Y"
"320",320,320,320,4,10,1934,"","China","China National Aviation Corporation","","","Sikorsky S-38BB","NV17V","",3,3,0,NA,"Y"
"322",322,322,322,5,31,1934,"5:00","England","Air France","","Croydon, England - Paris, France","Liore-et-Olivier 213","F-AIVG","",2,2,0,NA,"Y"
"324",324,324,324,6,11,1934,"","Argentina","Panagra","","Buenos Aires - Santiago","Ford 5-AT-C Tri-Motor","NC8417","5-AT-055",10,5,0,NA,"Y"
"326",326,326,326,6,23,1934,"6:00","California","Aerevias Centrales Air Service","","Mexico - Burbank","Lockheed Orion","XA-BEJ","",1,1,0,NA,"Y"
"328",328,328,328,7,27,1934,"","Germany","Swissair","","","Curtiss AT-32C Condor","CH-170","53",12,12,0,NA,"Y"
"330",330,330,330,8,31,1934,"23:42","Missouri","Rapid Air Transport","6","Omaha - St. Joseph","Stinson  SM-6000B","NC10809","5004",5,5,0,NA,"Y"
"332",332,332,332,10,19,1934,"","Australia","Holyman Airways","","Launceston - Melbourne","de Havilland DH-86","VH-URN","2301",11,11,0,NA,"Y"
"334",334,334,334,11,15,1934,"","Australia","Qantas","","","de Havilland DH-86","VH-USG","2311",4,4,0,NA,"Y"
"336",336,336,336,11,15,1934,"0:00","Montana","Rapid Air Transport","","Omaha, NB - Kansas City, MO","Stinson SM-6000-B","NC10809","",2,2,0,NA,"Y"
"338",338,338,338,12,8,1934,"5:30","Missouri","Braniff Airlines","","Kansas City, MO - Chicago, IL","Lockheed Vega 5C","NC106W","",1,1,0,NA,"Y"
"340",340,340,340,12,20,1934,"2:30","Syria","KLM Royal Dutch Airlines","","Amsterdam - Batavia, Java","Douglas DC-2-115A","PH-AJU","1317",7,7,0,NA,"Y"
"342",342,342,342,1,26,1935,"","Pennsylvania","Trans Continental and Western Air","","Newark, NJ - Columbus, OH","Consolidated Fleetster","NC13212","",1,1,0,NA,"Y"
"344",344,344,344,3,15,1935,"","Egypt","Misrair","","Jerusalem - Cairo","de Havilland Dragon 1","SU-ABI","6031",6,3,0,NA,"Y"
"346",346,346,346,4,1,1935,"","France","Air France","","","Farman F-300","F-ALHQ","",3,1,0,NA,"Y"
"348",348,348,348,5,1,1935,"","Colorado","Varney Air Lines","","","Lockheed Vega","NC891E","",1,1,0,NA,"Y"
"350",350,350,350,5,18,1935,"18:35","Michigan","Knowles Flying Service of Detroit","","Sightseeing","Ford model 4-AT-E","WC-7864","4-AT-49",12,3,0,NA,"Y"
"352",352,352,352,5,27,1935,"","Wyoming","Wyoming Air Service","","","Boeing 221","NC725W","",1,1,0,NA,"Y"
"354",354,354,354,5,29,1935,"","Honduras","","","","","","",9,6,0,NA,"Y"
"356",356,356,356,7,14,1935,"","Netherlands","KLM Royal Dutch Airlines","","Amsterdam - Sweden","Fokker F-XXII","PH-AQJ","5358",20,6,0,NA,"Y"
"358",358,358,358,7,20,1935,"","Switzerland","KLM Royal Dutch Airlines","","Milan, Italy - Amsterdam","Douglas DC-2","PH-AKG","1335",13,13,0,NA,"Y"
"360",360,360,360,8,15,1935,"20:08","Wyoming","Aero Mayflower Transit Co","","Helena - Denver","Waco, model YLC","NC14140","",3,3,0,NA,"Y"
"362",362,362,362,9,1,1935,"23:00","California","Western Air Express","","Burbank, CA - Salt Lake City, UT","Boeing 247","NC13314","",3,3,0,NA,"Y"
"364",364,364,364,10,7,1935,"2:19","Wyoming","United Air Lines","4","Salt Lake City - Cheyenne","Boeing 247D","NC13317","1698",12,12,0,NA,"Y"
"366",366,366,366,10,21,1935,"","New York","Chamberlin Flying Service","","","Curtiss AT-32C Condor","NC725K","",6,1,0,NA,"Y"
"368",368,368,368,11,2,1935,"","Brazil","Air France","","Bahia - Aracaju","Latécoère 28-1","F-AJIQ","906",4,4,0,NA,"Y"
"370",370,370,370,11,9,1935,"4:40","Texas","Braniff Airlines","","Dallas - Waco","Lockheed Vega","NC980Y","",1,1,0,NA,"Y"
"372",372,372,372,12,4,1935,"","France","Air Bleu","","","Caudron C-630 Simoun","F-ANRK","",2,1,0,NA,"Y"
"374",374,374,374,12,24,1935,"","Germany","Deutsche Lufthansa","","","Heinkel He-70","D-UVOR","915",3,3,0,NA,"Y"
"376",376,376,376,1,14,1936,"19:32","Arkansas","American Airlines","1","Newark, NJ - Fort Worth, TX","Douglas DC-2-120","NC14274","1307",17,17,0,NA,"Y"
"378",378,378,378,1,21,1936,"","France","Air France","","Marseille - Tunis","CAMS 53","F-AJIR","19",6,6,0,NA,"Y"
"380",380,380,380,2,15,1936,"","South AtlantiOcean","Deutsche Lufthansa","","Natal, Brazil - Bathhurst, Gambia","Dormier Do-J-Iif Bos Wal","D-ADYS","229",4,4,0,NA,"Y"
"382",382,382,382,3,26,1936,"","Mexico","Compania de Mexico","","Mexico - Guatemala","Ford 5-AT-B Tri Motor","X-ABCO","5-AT-115",14,14,0,NA,"Y"
"384",384,384,384,4,7,1936,"10:20","Pennsylvania","Trans Continental and Western Air","1","Newark - Los Angeles","Douglas DC-2-112","NC13721","1247",15,13,0,NA,"Y"
"386",386,386,386,4,15,1936,"","Italy","Avio Linee Italiane","","Turin - Milan","OFM F-VIIb/3m","I-AAXZ","359",7,7,0,NA,"Y"
"388",388,388,388,4,21,1936,"","France","Sabena","","","Fokker F-VII","OO-AIF","",2,2,0,NA,"Y"
"390",390,390,390,5,16,1936,"","Australia","Holyman Airways","","","De Havilland DH-60","VH-UII","",2,2,0,NA,"Y"
"392",392,392,392,6,13,1936,"","Germany","Deutsche Lufthansa","","","Junkers JU-160","D-UPYM","4211",6,1,0,NA,"Y"
"394",394,394,394,7,31,1936,"","Jersey","Guernsey Airways","","Guernsey - Jersey","Saro Cloud","G-ABXW","A-19/4",7,7,0,NA,"Y"
"396",396,396,396,8,3,1936,"","Mexico","Mexicana","","","Lockheed Orion","XA-BAY","",1,1,0,NA,"Y"
"398",398,398,398,8,6,1936,"","Colombia","SCADTA","","","Junkers F-13","C-40","",2,2,0,NA,"Y"
